,original_title,release_year,budget,revenue,profit
84,Tracers,2015,11000000,1863315,-9136685
85,Vacation,2015,31000000,104384188,73384188
86,Poltergeist,2015,35000000,95437994,60437994
89,Child 44,2015,50000000,3324330,-46675670
90,The Gift,2015,5000000,58978653,53978653
91,Daddy's Home,2015,50000000,240360392,190360392
94,The Little Prince,2015,64000000,97571250,33571250
96,The Dressmaker,2015,11930000,18340000,6410000
97,The DUFF,2015,8500000,43528634,35028634
98,Sinister 2,2015,10000000,52882018,42882018
99,Paul Blart: Mall Cop 2,2015,30000000,107597242,77597242
102,The Boy Next Door,2015,4000000,50163103,46163103
104,Entourage,2015,30000000,49263404,19263404
105,The Wedding Ringer,2015,23000000,79799880,56799880
106,Scouts Guide to the Zombie Apocalypse,2015,15000000,14860766,-139234
107,The Visit,2015,5000000,98450062,93450062
108,Black Mass,2015,53000000,99775678,46775678
110,Krampus,2015,15000000,61548707,46548707
112,No Escape,2015,5000000,54418872,49418872
113,Dope,2015,700000,17986781,17286781
114,American Ultra,2015,28000000,28208085,208085
115,Woman in Gold,2015,11000000,61619773,50619773
117,Sisters,2015,30000000,105011053,75011053
118,Project Almanac,2015,12000000,32248241,20248241
120,The Transporter Refueled,2015,25000000,72629670,47629670
121,Crimson Peak,2015,55000000,74679822,19679822
123,Magic Mike XXL,2015,14800000,122413057,107613057
124,Paranormal Activity: The Ghost Dimension,2015,10000000,78099553,68099553
126,Trumbo,2015,15000000,8235661,-6764339
127,Secret in Their Eyes,2015,19500000,32189727,12689727
129,The SpongeBob Movie: Sponge Out of Water,2015,74000000,311594032,237594032
131,Max,2015,20000000,43967255,23967255
135,The Gunman,2015,40000000,10664749,-29335251
136,Unfriended,2015,1000000,62882090,61882090
137,Hot Pursuit,2015,35000000,51680201,16680201
138,Insidious: Chapter 3,2015,10000000,104303851,94303851
141,The Lady in the Van,2015,6000000,41387687,35387687
142,Victor Frankenstein,2015,40000000,34227298,-5772702
144,Anomalisa,2015,8000000,3759286,-4240714
150,The Diary of a Teenage Girl,2015,2000000,1477002,-522998
155,Irrational Man,2015,11000000,27391084,16391084
157,Ricki and the Flash,2015,18000000,41325328,23325328
160,The Perfect Guy,2015,12000000,60273173,48273173
162,While We're Young,2015,10000000,7587485,-2412515
163,Get Hard,2015,40000000,106511453,66511453
167,The 33,2015,25000000,24902723,-97277
168,Suffragette,2015,14000000,16002420,2002420
170,We Are Your Friends,2015,6000000,11122090,5122090
179,The Second Best Exotic Marigold Hotel,2015,10000000,85978266,75978266
180,Little Boy,2015,20000000,6420319,-13579681
183,Aloha,2015,37000000,26250020,-10749980
186,Our Brand Is Crisis,2015,28000000,7002261,-20997739
200,Freeheld,2015,7000000,573335,-6426665
202,Love,2015,3000000,695269,-2304731
203,Truth,2015,9600000,2541554,-7058446
205,Danny Collins,2015,10000000,10835752,835752
206,Rock the Kasbah,2015,15000000,3020664,-11979336
208,"Hello, My Name Is Doris",2015,1000000,14444999,13444999
209,The Vatican Tapes,2015,13000000,1784763,-11215237
210,99 Homes,2015,8000000,1411927,-6588073
211,Hot Tub Time Machine 2,2015,14000000,12314651,-1685349
223,A Walk in the Woods,2015,8000000,35991087,27991087
225,The Lazarus Effect,2015,3300000,64110728,60810728
229,Unfinished Business,2015,35000000,14431253,-20568747
246,By the Sea,2015,10000000,3334927,-6665073
270,Black or White,2015,9000000,21571189,12571189
274,I Saw the Light,2015,13000000,1646788,-11353212
287,Jem and the Holograms,2015,5000000,2333684,-2666316
297,Demonic,2015,3000000,3387000,387000
350,Captive,2015,2000000,2801508,801508
380,90 Minutes in Heaven,2015,5000000,4842699,-157301
409,Grandma,2015,600000,7087452,6487452
492,War Room,2015,3000000,67790117,64790117
629,Interstellar,2014,165000000,621752480,456752480
630,Guardians of the Galaxy,2014,170000000,773312399,603312399
631,Captain America: The Winter Soldier,2014,170000000,714766572,544766572
632,John Wick,2014,20000000,78739897,58739897
633,The Hunger Games: Mockingjay - Part 1,2014,125000000,752100229,627100229
634,The Hobbit: The Battle of the Five Armies,2014,250000000,955119788,705119788
635,Big Hero 6,2014,165000000,652105443,487105443
636,The Imitation Game,2014,14000000,233555708,219555708
637,The Maze Runner,2014,34000000,348319861,314319861
638,Birdman,2014,18000000,103215094,85215094
639,Gone Girl,2014,61000000,369330363,308330363
640,Fury,2014,68000000,211817906,143817906
641,Night at the Museum: Secret of the Tomb,2014,127000000,349424282,222424282
642,Divergent,2014,85000000,288747895,203747895
643,X-Men: Days of Future Past,2014,250000000,746000000,496000000
644,Lucy,2014,40000000,463360063,423360063
645,Teenage Mutant Ninja Turtles,2014,125000000,477200000,352200000
646,Sex Tape,2014,40000000,126069509,86069509
647,Nightcrawler,2014,8500000,38697217,30197217
648,Transformers: Age of Extinction,2014,210000000,245500000,35500000
649,The Grand Budapest Hotel,2014,30000000,174600318,144600318
650,Whiplash,2014,3300000,13993093,10693093
651,Dawn of the Planet of the Apes,2014,170000000,708200000,538200000
652,The Equalizer,2014,55000000,192330738,137330738
653,Horrible Bosses 2,2014,42000000,106645357,64645357
654,The Amazing Spider-Man 2,2014,200000000,705717432,505717432
655,Edge of Tomorrow,2014,178000000,370541256,192541256
656,The Interview,2014,44000000,11305175,-32694825
657,American Sniper,2014,58800000,542307423,483507423
658,Exodus: Gods and Kings,2014,140000000,268031828,128031828
659,Godzilla,2014,160000000,529076069,369076069
660,Maleficent,2014,180000000,758410378,578410378
661,The November Man,2014,15000000,32556119,17556119
662,Ouija,2014,5000000,102529779,97529779
663,How to Train Your Dragon 2,2014,145000000,609123048,464123048
664,It Follows,2014,2000000,13500000,11500000
665,The Expendables 3,2014,90000000,206172544,116172544
666,The Lego Movie,2014,60000000,469160692,409160692
668,Seventh Son,2014,95000000,114178613,19178613
669,The Theory of Everything,2014,15000000,121201940,106201940
670,Let's Be Cops,2014,17000000,136621271,119621271
671,Dracula Untold,2014,70000000,215529201,145529201
672,Penguins of Madagascar,2014,132000000,373552094,241552094
673,Into the Woods,2014,50000000,212902372,162902372
674,300: Rise of an Empire,2014,110000000,337580051,227580051
675,The Giver,2014,25000000,66980456,41980456
676,22 Jump Street,2014,50000000,188441614,138441614
677,A Walk Among the Tombstones,2014,28000000,53181600,25181600
678,Paddington,2014,55000000,259207227,204207227
679,Cake,2014,7000000,2360281,-4639719
680,Chef,2014,11000000,45967935,34967935
681,The Purge: Anarchy,2014,9000000,108782847,99782847
682,Left Behind,2014,16000000,19682924,3682924
683,Boyhood,2014,4000000,44349000,40349000
684,A Most Violent Year,2014,20000000,12007070,-7992930
685,Hercules,2014,100000000,243400000,143400000
686,Noah,2014,125000000,362637473,237637473
687,The Judge,2014,50000000,83719388,33719388
689,Blended,2014,40000000,123494610,83494610
690,Neighbors,2014,18000000,268157400,250157400
691,If I Stay,2014,11000000,78874843,67874843
692,Step Up All In,2014,45000000,86165646,41165646
694,The Fault in Our Stars,2014,12000000,305151265,293151265
696,Ride Along,2014,25000000,153997819,128997819
698,Inherent Vice,2014,20000000,11110975,-8889025
699,Jack Ryan: Shadow Recruit,2014,60000000,50549107,-9450893
700,Non-Stop,2014,50000000,222809600,172809600
701,Predestination,2014,5500000,3000000,-2500000
704,The Drop,2014,12600000,18658381,6058381
705,RoboCop,2014,120000000,239379423,119379423
706,Transcendence,2014,100000000,103039258,3039258
707,The Other Woman,2014,40000000,196781193,156781193
708,Mr. Peabody & Sherman,2014,145000000,272912430,127912430
710,Sin City: A Dame to Kill For,2014,65000000,39407616,-25592384
712,Rio 2,2014,103000000,500188435,397188435
713,Dumb and Dumber To,2014,40000000,169837010,129837010
715,The Monuments Men,2014,70000000,154984035,84984035
716,Unbroken,2014,65000000,163442937,98442937
717,Selma,2014,20000000,66787908,46787908
718,Mommy,2014,4900000,3494070,-1405930
721,Wild,2014,15000000,52501541,37501541
722,Pompeii,2014,130000000,117831631,-12168369
723,The Best of Me,2014,26000000,35926213,9926213
724,Annie,2014,65000000,133821816,68821816
726,The Book of Life,2014,50000000,97437106,47437106
727,St. Vincent,2014,13000000,54837234,41837234
728,Need for Speed,2014,66000000,203277636,137277636
731,The Hundred-Foot Journey,2014,22000000,88880821,66880821
732,The Boxtrolls,2014,60000000,108255770,48255770
733,Big Eyes,2014,10000000,28883511,18883511
734,The Prince,2014,18000000,266586800,248586800
738,The Signal,2014,4000000,600896,-3399104
740,Into the Storm,2014,50000000,160602194,110602194
743,Planes: Fire & Rescue,2014,50000000,151165787,101165787
745,Sabotage,2014,35000000,17508518,-17491482
750,No Good Deed,2014,13200000,53830415,40630415
751,Still Alice,2014,5000000,41797583,36797583
752,"As Above, So Below",2014,5000000,40100000,35100000
753,Foxcatcher,2014,24000000,12096300,-11903700
755,Endless Love,2014,20000000,34077920,14077920
756,The Rover,2014,12250000,2295423,-9954577
757,Think Like a Man Too,2014,24000000,70181428,46181428
758,Suite Fran̤aise,2014,15000000,9104716,-5895284
762,Annabelle,2014,6500000,255273813,248773813
765,"I, Frankenstein",2014,65000000,71154592,6154592
766,That Awkward Moment,2014,8000000,26049082,18049082
768,Draft Day,2014,27000000,28831145,1831145
769,Brick Mansions,2014,28000000,68896829,40896829
770,The Babadook,2014,2000000,6676471,4676471
771,Tammy,2014,20000000,100525432,80525432
780,Winter's Tale,2014,60000000,30800231,-29199769
783,The Guest,2014,5000000,2367161,-2632839
788,The Water Diviner,2014,22500000,15520023,-6979977
789,The Green Inferno,2014,5000000,6833445,1833445
792,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,28000000,100654149,72654149
793,This Is Where I Leave You,2014,19800000,41296320,21496320
794,The Homesman,2014,16000000,2429989,-13570011
801,Big Game,2014,8500000,7500000,-1000000
803,Jersey Boys,2014,40000000,67347013,27347013
804,About Last Night,2014,12500000,49002684,36502684
805,Million Dollar Arm,2014,25000000,38307627,13307627
806,Wish I Was Here,2014,5500000,5483299,-16701
807,Infinitely Polar Bear,2014,6700000,1430655,-5269345
812,Under the Skin,2014,13300000,5380251,-7919749
813,Veronica Mars,2014,6000000,3485127,-2514873
815,Son of God,2014,22000000,67800064,45800064
819,Justice League: War,2014,3500000,5155325,1655325
820,The Zero Theorem,2014,8500000,770706,-7729294
823,When the Game Stands Tall,2014,15000000,30127963,15127963
839,A Most Wanted Man,2014,15000000,31554855,16554855
842,The Pyramid,2014,6500000,13865435,7365435
844,Clouds of Sils Maria,2014,6600000,1554000,-5046000
845,Kill the Messenger,2014,5000000,2450846,-2549154
854,Locke,2014,2000000,4635300,2635300
856,Dolphin Tale 2,2014,36000000,52424533,16424533
861,The Woman in Black 2: Angel of Death,2014,1000000,26501323,25501323
864,Muppets Most Wanted,2014,50000000,80383113,30383113
870,Tusk,2014,2800000,1826705,-973295
878,5 Flights Up,2014,6000000,1020921,-4979079
881,Heaven is for Real,2014,12000000,101332962,89332962
896,The Legend of Hercules,2014,70000000,61279452,-8720548
901,And So It Goes,2014,30000000,25312387,-4687613
924,Miss Julie,2014,5500000,5000000,-500000
947,Beyond the Lights,2014,7000000,14618727,7618727
954,Moms' Night Out,2014,5000000,10429707,5429707
956,Earth to Echo,2014,13000000,45300000,32300000
976,The Gambler,2014,25000000,39171130,14171130
983,The Grand Seduction,2014,12700000,3430018,-9269982
985,Joe,2014,4000000,2365467,-1634533
1004,Parts Per Billion,2014,500000,15000000,14500000
1023,God's Not Dead,2014,17000000,29789000,12789000
1042,Devil's Due,2014,7000000,36433975,29433975
1069,My Old Lady,2014,5000000,4013786,-986214
1179,Mrs. Brown's Boys D'Movie,2014,5900000,23000000,17100000
1329,Star Wars,1977,11000000,775398007,764398007
1330,The Spy Who Loved Me,1977,14000000,185438673,171438673
1331,The Rescuers,1977,1200000,71215869,70015869
1332,Annie Hall,1977,4000000,38251425,34251425
1334,Close Encounters of the Third Kind,1977,20000000,303788635,283788635
1335,A Bridge Too Far,1977,22000000,50750000,28750000
1338,Sinbad and the Eye of the Tiger,1977,3500000,16000000,12500000
1340,Saturday Night Fever,1977,3500000,237113184,233613184
1341,High Anxiety,1977,3400000,31063038,27663038
1344,The Gauntlet,1977,5500000,26414658,20914658
1351,Exorcist II: The Heretic,1977,14000000,30749142,16749142
1352,Airport '77,1977,6000000,30000000,24000000
1363,Orca: The Killer Whale,1977,6000000,14717854,8717854
1364,Sorcerer,1977,22000000,12000000,-10000000
1365,The Last Wave,1977,810000,1258000,448000
1368,Kingdom of the Spiders,1977,500000,17000000,16500000
1370,Wizards,1977,1200000,9000000,7800000
1386,Avatar,2009,237000000,2781505847,2544505847
1387,Inglourious Basterds,2009,70000000,319131050,249131050
1388,Underworld: Rise of the Lycans,2009,35000000,91327197,56327197
1389,Harry Potter and the Half-Blood Prince,2009,250000000,933959197,683959197
1390,Up,2009,175000000,731342744,556342744
1391,Star Trek,2009,150000000,385680446,235680446
1392,Terminator Salvation,2009,200000000,371353001,171353001
1393,District 9,2009,30000000,210819611,180819611
1394,Sherlock Holmes,2009,90000000,524028679,434028679
1395,(500) Days of Summer,2009,7500000,60722734,53222734
1396,Ice Age: Dawn of the Dinosaurs,2009,90000000,886686817,796686817
1397,The Hangover,2009,35000000,459270619,424270619
1398,Watchmen,2009,130000000,185258983,55258983
1399,2012,2009,200000000,769653595,569653595
1400,9,2009,30000000,48428063,18428063
1401,Angels & Demons,2009,150000000,356613439,206613439
1402,The Princess and the Frog,2009,105000000,267045765,162045765
1403,The Blind Side,2009,29000000,309208309,280208309
1404,Zombieland,2009,23600000,102391382,78791382
1405,The Twilight Saga: New Moon,2009,50000000,709827462,659827462
1406,He's Just Not That Into You,2009,40000000,177259441,137259441
1407,G.I. Joe: The Rise of Cobra,2009,175000000,302469017,127469017
1408,The Proposal,2009,40000000,317375031,277375031
1410,The Ugly Truth,2009,38000000,205298907,167298907
1411,Cloudy with a Chance of Meatballs,2009,100000000,242988466,142988466
1412,Fantastic Mr. Fox,2009,40000000,46471023,6471023
1413,Coraline,2009,60000000,124596398,64596398
1414,Night at the Museum: Battle of the Smithsonian,2009,150000000,413106170,263106170
1415,17 Again,2009,20000000,136267476,116267476
1416,A Christmas Carol,2009,200000000,325233863,125233863
1418,The Lovely Bones,2009,65000000,93525586,28525586
1419,Paul Blart: Mall Cop,2009,26000000,183293131,157293131
1420,Hachi: A Dog's Tale,2009,16000000,47801389,31801389
1421,Law Abiding Citizen,2009,53000000,126690726,73690726
1422,The Box,2009,30000000,33333531,3333531
1423,Crank: High Voltage,2009,20000000,34560577,14560577
1424,Pandorum,2009,33000000,20645327,-12354673
1426,Drag Me to Hell,2009,30000000,90842646,60842646
1428,Knowing,2009,50000000,155446362,105446362
1429,Moon,2009,5000000,9760104,4760104
1430,G-Force,2009,150000000,292817841,142817841
1432,The Taking of Pelham 1 2 3,2009,100000000,150166126,50166126
1433,The Invention of Lying,2009,18500000,31912793,13412793
1434,Confessions of a Shopaholic,2009,40000000,108332743,68332743
1436,Gamer,2009,50000000,40828540,-9171460
1438,Mr. Nobody,2009,47000000,3547209,-43452791
1439,Couples Retreat,2009,70000000,171844840,101844840
1440,Brothers,2009,26000000,43318349,17318349
1441,The Road,2009,32000000,27635305,-4364695
1442,Monsters vs Aliens,2009,175000000,381509870,206509870
1443,Fish Tank,2009,3000000,2357852,-642148
1444,Julie & Julia,2009,40000000,129540499,89540499
1445,Chloe,2009,15000000,8459458,-6540542
1446,Public Enemies,2009,80000000,214104620,134104620
1448,Jennifer's Body,2009,16000000,31556061,15556061
1449,Orphan,2009,20000000,41596251,21596251
1450,All About Steve,2009,15000000,40105542,25105542
1451,The Final Destination,2009,40000000,186167139,146167139
1452,Alvin and the Chipmunks: The Squeakquel,2009,75000000,443140005,368140005
1453,After.Life,2009,4500000,3606395,-893605
1454,Bride Wars,2009,30000000,114663461,84663461
1455,Precious,2009,10000000,63647833,53647833
1456,State of Play,2009,60000000,87784194,27784194
1457,The Unborn,2009,16000000,76514050,60514050
1458,"New York, I Love You",2009,14700000,8049666,-6650334
1459,"I Love You, Man",2009,41000000,91636986,50636986
1460,The Informant!,2009,22000000,35424826,13424826
1461,Race to Witch Mountain,2009,50000000,106303988,56303988
1462,Case 39,2009,27000000,29000000,2000000
1463,The Boat That Rocked,2009,50000000,36348784,-13651216
1465,Daybreakers,2009,20000000,51416464,31416464
1466,The Time Traveler's Wife,2009,39000000,101229792,62229792
1468,Antichrist,2009,11000000,791867,-10208133
1470,Love Happens,2009,18000000,36133014,18133014
1471,Push,2009,38000000,45465299,7465299
1472,Brooklyn's Finest,2009,17000000,29536299,12536299
1473,Saw VI,2009,11000000,68233629,57233629
1474,The Young Victoria,2009,35000000,27409889,-7590111
1475,A Serious Man,2009,7000000,31430334,24430334
1476,A Perfect Getaway,2009,14000000,22852638,8852638
1478,Whiteout,2009,40000000,12206028,-27793972
1481,I Love You Phillip Morris,2009,13000000,10652035,-2347965
1482,Enter the Void,2009,13000000,754249,-12245751
1484,12 Rounds,2009,20000000,17280326,-2719674
1486,3 Idiots,2009,9000000,70000000,61000000
1487,Transformers: Revenge of the Fallen,2009,150000000,836297228,686297228
1488,The Men Who Stare at Goats,2009,24000000,68729358,44729358
1490,Ninja Assassin,2009,40000000,60462347,20462347
1491,Bandslam,2009,20000000,5210988,-14789012
1492,Where the Wild Things Are,2009,100000000,100086793,86793
1493,It's Complicated,2009,85000000,219103655,134103655
1498,Land of the Lost,2009,100000000,68688831,-31311169
1499,Invictus,2009,60000000,122233971,62233971
1500,Planet 51,2009,70000000,104945765,34945765
1506,Year One,2009,60000000,62357900,2357900
1507,Life During Wartime,2009,4500000,744816,-3755184
1508,Ondine,2009,12000000,1644755,-10355245
1510,My Bloody Valentine,2009,15000000,100734718,85734718
1514,Old Dogs,2009,35000000,92219310,57219310
1516,Agora,2009,70000000,39041505,-30958495
1518,The Boondock Saints II: All Saints Day,2009,8000000,10629321,2629321
1519,The Bad Lieutenant: Port of Call - New Orleans,2009,25000000,10589102,-14410898
1520,The Imaginarium of Doctor Parnassus,2009,30000000,61808775,31808775
1521,Horsemen,2009,20000000,1017401,-18982599
1522,Armored,2009,20000000,22942221,2942221
1527,Cirque du Freak: The Vampire's Assistant,2009,40000000,28169671,-11830329
1529,Leaves of Grass,2009,9000000,985117,-8014883
1530,An Education,2009,7500000,26096852,18596852
1531,Funny People,2009,75000000,61458982,-13541018
1533,Up in the Air,2009,25000000,163670000,138670000
1534,Astro Boy,2009,65000000,44091067,-20908933
1535,The International,2009,50000000,60161391,10161391
1538,Universal Soldier: Regeneration,2009,14000000,875386,-13124614
1539,Fast & Furious,2009,85000000,363164265,278164265
1542,Capitalism: A Love Story,2009,20000000,17436509,-2563491
1546,Halloween II,2009,15000000,39421467,24421467
1550,Hannah Montana: The Movie,2009,35000000,155545279,120545279
1552,Banlieue 13 - Ultimatum,2009,15000000,8786375,-6213625
1554,Aliens in the Attic,2009,45000000,57881056,12881056
1558,The Collector,2009,3400000,9444018,6044018
1562,The Fourth Kind,2009,10000000,42333295,32333295
1564,Solitary Man,2009,15000000,5024782,-9975218
1568,The Disappearance of Alice Creed,2009,800000,867714,67714
1569,Duplicity,2009,78146652,60000000,-18146652
1577,Bright Star,2009,8500000,4440055,-4059945
1582,Adventureland,2009,9500000,17164377,7664377
1583,Extract,2009,8000000,10848783,2848783
1588,Nine,2009,80000000,53825515,-26174485
1590,The Messenger,2009,6500000,1521261,-4978739
1593,Away We Go,2009,17000000,14899417,-2100583
1594,My Life in Ruins,2009,17000000,20455276,3455276
1595,My Sister's Keeper,2009,30000000,95714875,65714875
1599,The Soloist,2009,60000000,31720158,-28279842
1601,Friday the 13th,2009,19000000,91379051,72379051
1603,Crossing Over,2009,25000000,1037335,-23962665
1607,Harry Brown,2009,7300000,10329747,3029747
1608,Surrogates,2009,80000000,122444772,42444772
1612,Street Fighter: The Legend of Chun-Li,2009,50000000,12764201,-37235799
1613,Hotel for Dogs,2009,35000000,73034460,38034460
1618,Obsessed,2009,20000000,73830340,53830340
1625,Whip It,2009,15000000,16633035,1633035
1637,Solomon Kane,2009,45000000,7810000,-37190000
1644,X-Men Origins: Wolverine,2009,150000000,341131793,191131793
1648,S. Darko,2009,4000000,4100000,100000
1655,City Island,2009,6000000,6670712,670712
1658,Amelia,2009,40000000,19258519,-20741481
1666,Beyond a Reasonable Doubt,2009,25000000,4388563,-20611437
1674,New in Town,2009,8000000,29010817,21010817
1675,Me and Orson Welles,2009,25000000,2336172,-22663828
1676,Shorts,2009,40000000,28972508,-11027492
1699,Sorority Row,2009,12500000,27206120,14706120
1722,Ch̩ri,2009,23000000,9366227,-13633773
1724,The Joneses,2009,10000000,7022728,-2977272
1728,Fired Up!,2009,20000000,18599102,-1400898
1736,The Girlfriend Experience,2009,1700000,1007962,-692038
1756,Post Grad,2009,15000000,6405245,-8594755
1758,Paper Heart,2009,1000000,1296971,296971
1774,Crazy Heart,2009,7000000,39462438,32462438
1800,I Hope They Serve Beer in Hell,2009,7000000,1429299,-5570701
1829,Did You Hear About The Morgans?,2009,58000000,85280250,27280250
1831,The Grudge 3,2009,5000000,38610009,33610009
1866,Mao's Last Dancer,2009,25000000,20719451,-4280549
1919,Inception,2010,160000000,825500000,665500000
1920,Iron Man 2,2010,200000000,623933331,423933331
1921,Alice in Wonderland,2010,200000000,1025467110,825467110
1922,Black Swan,2010,13000000,327803731,314803731
1923,Harry Potter and the Deathly Hallows: Part 1,2010,250000000,954305868,704305868
1924,Despicable Me,2010,69000000,543513985,474513985
1925,The Expendables,2010,80000000,274470394,194470394
1926,How to Train Your Dragon,2010,165000000,494878759,329878759
1927,Shutter Island,2010,80000000,294804195,214804195
1928,TRON: Legacy,2010,170000000,400062763,230062763
1929,Tangled,2010,260000000,591794936,331794936
1930,Toy Story 3,2010,200000000,1063171911,863171911
1931,Salt,2010,110000000,293329073,183329073
1932,127 Hours,2010,18000000,35692920,17692920
1933,Easy A,2010,8000000,74952305,66952305
1934,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,155000000,415686217,260686217
1935,Kick-Ass,2010,28000000,96188903,68188903
1936,The Tourist,2010,100000000,278346189,178346189
1937,Prince of Persia: The Sands of Time,2010,150000000,335154643,185154643
1938,Robin Hood,2010,200000000,310669540,110669540
1939,True Grit,2010,38000000,252276927,214276927
1940,Clash of the Titans,2010,125000000,232713139,107713139
1941,The Sorcerer's Apprentice,2010,150000000,215283742,65283742
1943,The Social Network,2010,40000000,224920315,184920315
1944,Scott Pilgrim vs. the World,2010,60000000,47664559,-12335441
1945,Little Fockers,2010,100000000,310650585,210650585
1946,Predators,2010,40000000,126248813,86248813
1947,Percy Jackson & the Olympians: The Lightning Thief,2010,95000000,226497209,131497209
1948,Unstoppable,2010,100000000,167805466,67805466
1949,Shrek Forever After,2010,165000000,752600867,587600867
1950,Dear John,2010,25000000,114977104,89977104
1951,The A-Team,2010,110000000,177238796,67238796
1952,RED,2010,58000000,71664962,13664962
1953,Machete,2010,20000000,31327899,11327899
1954,Grown Ups,2010,80000000,271430189,191430189
1955,The Book of Eli,2010,80000000,157107755,77107755
1956,Date Night,2010,55000000,152263880,97263880
1957,The Town,2010,37000000,154026136,117026136
1959,The Twilight Saga: Eclipse,2010,68000000,698491347,630491347
1960,Megamind,2010,130000000,321885765,191885765
1961,The Last Airbender,2010,150000000,318502923,168502923
1962,The Other Guys,2010,100000000,170432927,70432927
1964,Insidious,2010,1500000,97009150,95509150
1965,Step Up 3D,2010,30000000,159291809,129291809
1966,The King's Speech,2010,15000000,414211549,399211549
1967,Love & Other Drugs,2010,30000000,102820008,72820008
1968,The Way Back,2010,30000000,20348249,-9651751
1969,Repo Men,2010,32000000,18409891,-13590109
1970,Last Night,2010,7000000,7644937,644937
1971,Knight and Day,2010,117000000,261930431,144930431
1973,Eat Pray Love,2010,60000000,204594016,144594016
1974,Blue Valentine,2010,1000000,12355734,11355734
1975,The Bounty Hunter,2010,40000000,136000000,96000000
1976,Leap Year,2010,19000000,29922472,10922472
1977,Green Zone,2010,100000000,94882889,-5117111
